Date,Total
200801,3459
200802,3325
200803,3323
200804,3343
200805,3557
200806,3736
200807,3690
200808,3544
200809,3286
200810,3451
200811,3127
200812,2709
200901,2963
200902,2724
200903,3143
200904,3016
200905,3257
200906,3302
200907,3229
200908,3261
200909,3062
200910,3194
200911,2930
200912,2685
201001,2833
201002,2841
201003,3429
201004,3133
201005,3194
201006,3225
201007,3390
201008,3287
201009,3045
201010,3203
201011,2926
201012,2446
201101,2941
201102,2634
201103,2856
201104,2905
201105,3161
201106,3005
201107,2910
201108,2905
201109,2719
201110,3115
201111,2901
201112,2798
201201,2670
201202,2599
201203,2910
201204,2413
201205,2925
201206,2850
201207,2917
201208,2804
201209,2516
201210,2609
201211,2752
201212,2794
201301,2932
201302,2527
201303,2713
201304,2602
201305,2549
201306,2688
201307,2945
201308,2661
201309,2640
201310,2747
201311,2791
201312,2471
201401,2351
201402,2267
201403,2487
201404,2295
201405,2386
201406,2466
201407,2649
201408,2466
201409,2653
201410,2772
201411,2689
201412,2389
201501,2541
201502,2319
201503,2509
201504,2475
201505,2864
201506,2699
201507,2677
201508,2617
201509,2437
201510,2636
201511,2798
201512,2638
201601,2553
201602,2481
201603,2560
201604,2650
201605,3014
201606,2750
201607,2791
201608,2794
201609,2851
201610,2794
201611,2592
201612,2672
201701,2740
201702,2536
201703,2833
201704,2601
201705,2796
201706,2845
201707,3018
201708,3033
201709,2929
201710,2978
201711,3163
201712,2652
201801,2839
201802,2535
201803,2740
201804,2943
201805,3018
201806,2969
201807,3332
201808,3063
201809,2959
201810,3223
201811,3143
201812,2899
